xA,xB,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,response_1,outcome_2
A1,B1,83.5407229849995,287.7955165741612,119.81262093304464,383.36520694629684,338.3201916251797,344.8460849041976,359.6313419803619,327.11432746153963,108.29876047642661,356.09470527387975,59.78659332443195,-0.8715124488578956,Pass
A1,B1,83.54778216887034,290.8875042574176,130.186411615094,337.7156825959705,330.4228151629677,307.6132056607578,382.9058599333506,303.93425980058123,117.38163665741374,356.0769205872102,58.142544854140304,3.2431858587829736,Fail
A1,B1,86.32736176601085,349.7162411954359,115.55599774922418,357.43325931534685,354.0787064149402,333.85108331024816,386.8669026548763,330.23424612560274,138.76859071578085,369.9678384940035,61.95862017336988,4.476270390083318,Pass
A1,B1,84.86204697397004,299.6923968029786,143.85174129572826,387.0574718517872,297.01559154411177,353.8841354656383,384.222903168683,345.03821704772963,139.0502803540516,284.02667344946656,62.03022406347941,-0.02065380323827501,Pass
A1,B1,82.46256199312836,329.2034947996577,123.69608737546169,347.60501906596966,379.71197443796325,330.2676106091457,351.47816245779853,279.2041967486939,147.96588336603816,365.2056756827029,60.939014373459166,0.06478394359117279,Fail
A1,B1,80.9902899741252,269.7589785630192,119.86138170085485,270.10104977028294,243.29951224788147,308.4985602425811,360.5118778404419,415.4756242576397,137.98293004790312,384.8564241519855,57.6418002619083,13.467896767457894,Fail
A1,B1,83.28257730722657,268.92768912316285,126.67470566256698,328.42369375349074,394.3460713375652,351.9491076853905,416.5872962516483,295.9408473499913,115.29273144890576,351.67694426712035,64.81096305548107,3.528582627435691,Pass
A1,B1,82.43507853700439,275.514343652514,121.61900187569793,403.59994956983445,389.08025268267653,342.93968091773417,362.0319555154219,308.39109618429933,130.23403609903312,323.30247569069275,64.61605116605016,0.3355945152572354,Pass
A1,B1,78.94556012321233,320.2360805039392,125.66362050803538,374.92669855092703,294.340228164225,365.99493797931837,350.681670460154,338.95212930653264,146.5144334687385,340.9935702435253,63.01421766067168,12.011506295977433,Fail
A1,B1,82.52450448043025,304.677829830426,129.98217970218334,398.38787672842625,391.355764824599,361.86526858131293,363.9463382386876,258.119160560333,126.86629627142324,331.8327953213989,59.70775708390773,1.0591665625440005,Pass
A1,B1,79.92180974683356,313.9257917321051,123.37938609127262,355.3963632266306,299.85502204024124,334.02727473049447,402.3373214260764,308.2745469315991,124.6636703137807,387.23575953110844,62.294807161709755,4.243850746714702,Pass
A1,B1,79.75986691283087,275.2338207207999,126.15299844881002,374.5323973924979,335.4451034828212,324.64614867394334,358.9420075753549,349.31476936954607,111.08626878968721,328.545846026137,62.798240805623024,5.349848350781915,Fail
A1,B1,80.88088462790844,338.0211542559074,115.18737547572945,401.65479433370587,411.33614549033587,340.59427284612303,364.3883077578254,310.4385952150013,115.1659396990624,334.58804826063704,58.95109359747162,6.109281008042082,Fail
A1,B1,81.262544638259,289.6866692387577,120.94467295796403,370.2834177331919,322.38420795612035,327.9138334692556,423.31028483914844,327.268553694455,120.4130520430378,370.72824663879464,67.84389252720092,-0.07325538325103542,Pass
A1,B1,82.3954224132784,317.91329278376577,130.12028984507265,306.6423898651419,362.3458220848178,327.72154786276957,365.79306907575017,362.655138352479,141.10464422187272,311.93734119894896,58.71270750978519,-0.08847890727829724,Pass
A1,B1,81.21987373200017,296.9239654421545,127.48323366445938,382.7517846060147,274.08873234728014,323.1933360443915,359.5989010286269,348.69132409221703,133.68449910425701,344.07195783294736,62.03088557325027,2.5691894741381893,Pass
A1,B1,82.11810363665617,327.00299048458845,129.9613274965023,410.1187275481652,368.42585448439354,339.17874552733286,362.0895163933688,286.5169887520878,126.70123571169198,313.9944509266045,62.6933624761087,-0.5882179358120508,Pass
A1,B1,81.68271110083748,279.2654218208299,125.51712321913638,355.04195704961927,368.64785385686866,332.21130216663664,341.1678805179209,337.4051469127826,131.84346363173594,314.7034759592604,61.58765288344381,1.799743076589737,Pass
A1,B1,81.60069840984436,313.1642136140892,134.35653452433678,381.8696384692935,319.7752233067886,338.71664779868405,377.806072351388,295.09449500460084,122.13234089668526,348.0532870512974,58.63941959185823,-2.602315712518747,Fail
A1,B1,83.66613552182412,303.36289055659734,128.52398345413954,349.2671944855619,356.9567912119828,336.5202190117039,369.23345830760434,337.97448480731396,148.1591109249853,328.1328392026529,61.57676414357727,-3.621814338632067,Pass
A1,B1,83.40571501715988,283.3980167207544,123.87786037213301,345.11846191246275,373.4231216115271,353.09692381077184,414.41310133673437,293.9031955843961,119.2218058831312,357.95062132594086,64.18620952185134,1.611898163276424,Pass
A1,B1,82.60498772420394,290.32764343577355,128.04296747730254,411.32030573998196,307.6293639658165,334.8470021086857,355.8440485973276,318.58193656444973,125.98421734942598,336.45403641531743,60.7592419842127,1.3128224877255648,Pass
A1,B1,84.27044922151813,297.8277831641228,130.32208516065768,405.3414134467934,301.7577008652697,326.64239534728165,376.2367118667547,360.5510940415477,150.66211888293367,307.3219934162544,65.27861781237121,1.1541102391890417,Fail
A1,B1,82.54350744618456,354.7568968311394,127.28790055157323,353.0455961558801,349.3729775121278,317.977368204111,380.9334046351496,289.0136769230491,124.18605304988301,358.5886197916452,70.8556532992632,10.091633944820044,Fail
A1,B1,84.40109842452758,322.1834275237018,130.44286209393277,314.38545496487683,310.3882310070376,340.20814787361525,365.52600795976394,337.6509729018615,128.53593467785765,351.6804960033831,60.570958615038826,-4.710926384912976,Pass
A1,B1,81.67456737687529,308.90952751428995,131.99922232509857,388.3420296421764,327.2288631150144,333.4819887143977,348.911811651637,307.4431684655231,134.93684868815308,336.09786950610413,58.46159218979771,3.6338009937153655,Pass
A1,B1,82.09969303052318,354.4149970075922,126.5030257839928,351.541986958507,355.6252972658695,324.38598730517657,393.80027322449354,327.3639770928289,123.22242112173299,338.5049975898664,63.68340202692469,8.710286295150352,Fail
A1,B1,81.2735597588441,325.68756343755996,139.69774054251616,399.8348035786673,436.4114476663049,344.3257718186176,362.02164254436707,244.7816886065436,160.27285417095064,294.3763798447699,64.33298078789369,1.5899751777839974,Fail
A1,B1,81.709451202298,310.46832463075015,126.08869695736455,414.47275424079913,414.40660962388694,327.30809242041124,365.53501775760503,307.8420139912358,132.68331766837065,277.179198638579,72.90917480283632,2.2173487613744216,Pass
A1,B1,84.76171513251657,315.9873049828256,122.3938328488267,398.5780293943936,336.3815718786152,320.52297920007527,368.4767217794051,330.83998902462304,138.9480833339386,334.1392596646389,65.966228928948,0.2101746713476088,Pass
A1,B1,81.72192685266558,345.585441004377,128.10023161780617,317.90671443855155,374.58624990913074,321.3406723038362,406.2766686035112,361.35401576820243,156.14369702599623,312.6793428810384,61.29257653240496,6.215290195187405,Fail
A1,B1,83.18716186576478,276.5012091808946,122.4793850463015,360.22702019489907,382.04380272999197,335.00683359105994,370.98498319125673,317.0964372179748,115.38415646160695,342.7489648304321,66.48463853898544,2.8254061661309406,Pass
A1,B1,84.53178347411978,319.0200361368699,125.55099459895412,426.6766947380428,292.8881170013096,330.08364915094927,416.0237132494394,312.327348964016,114.1812249719674,352.7136957318906,62.6896002626301,-2.346632793043816,Pass
A1,B1,80.88997262275416,316.0632954755834,125.35672213444522,376.1493517613711,348.4523999755269,303.32200034426586,411.14803293949683,364.7440251980115,126.25311846223772,300.5647584314882,63.0905402912226,7.372787016904682,Pass
A1,B1,82.68308069691018,295.62672795988055,125.40473021119352,340.86993539666076,335.15122268517996,327.95355938982414,356.79347753033215,338.554847036942,147.952774905164,350.8559917068692,66.18801592633399,-1.0515395665538638,Fail
A1,B1,79.5942668541682,285.1931739370849,129.75433328722792,390.0263259282761,430.086116280733,331.4614743065842,366.9147935658239,323.1804188336897,131.2811091394725,279.35742863612774,58.85400108079733,3.04590902932325,Pass
A1,B1,86.81653345508144,295.9765661080846,120.74979944852448,257.97985887610633,341.5949250676261,338.3470883569708,391.06879109515876,411.28512240778247,129.73303443941236,339.7661702409005,65.05047628861729,0.18396980374071115,Pass
A1,B1,84.45108926284381,328.6147609719889,123.11851859210853,345.667319862666,386.50915924979734,325.21724166290625,399.8210236418614,326.9528516018835,132.84712085458435,331.37352387632876,63.84673616257321,-0.9901100055507912,Fail
A1,B1,78.9910772891113,311.6531161146121,125.93159368880393,366.15302445794913,348.4716189507003,301.49830260990086,352.2744193470045,339.70003256523773,131.1433622857409,327.47465744425995,61.2775842146053,15.416918920689223,Fail
A1,B1,80.49258470538398,310.33547712595174,115.57666610548347,353.6915921113913,346.1077346141134,361.6333923794361,381.50708385405767,351.9117038722514,126.1434580208318,363.9124622369543,63.9058785582032,3.543736744773776,Fail
A1,B1,82.6472263336132,328.686432669326,125.2593170381074,305.1105236892902,332.8416213199112,338.6322131258041,392.27176050313346,346.66801847865844,144.88164521332402,348.544804660217,61.524573353320626,2.4833218140755755,Pass
A1,B1,82.90967143069139,307.0658610208541,119.94759652165287,367.02598627866854,385.5346811851428,362.1951068188669,337.5894462478544,335.7168053220335,120.2679178674013,326.33958578109167,66.65652291920486,0.014083467760259483,Pass
A1,B1,83.58192237521982,371.3689837678564,122.3971331983337,398.5103743608123,218.93592642011322,372.12362675021825,352.655572267012,353.3841963728236,126.76580739917637,377.18635713485986,69.19811234011037,19.66032623518111,Fail
